"taxon","genus","tribe","subfamily","family","order","class"
"Demansia_shinei","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_simplex","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_torquata","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Demansia_vestigiata","Demansia",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_buergersi","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_grandis","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_holopelturus","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_longissimus","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_mintoni","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_misimae","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_pachysomus","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_preussi","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_spilolepidotus","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Toxicocalamus_stanleyanus","Toxicocalamus",,"Notechinae","Elapidae","Squamata","Lepidosauria"
"Furina_barnardi","Furina",,,"Elapidae","Squamata","Lepidosauria"
"Furina_diadema","Furina",,,"Elapidae","Squamata","Lepidosauria"
"Furina_dunmalli","Furina",,,"Elapidae","Squamata","Lepidosauria"
"Furina_ornata","Furina",,,"Elapidae","Squamata","Lepidosauria"
"Furina_tristis","Furina",,,"Elapidae","Squamata","Lepidosauria"
"Denisonia_devisi","Denisonia",,,"Elapidae","Squamata","Lepidosauria"
"Denisonia_maculata","Denisonia",,,"Elapidae","Squamata","Lepidosauria"
"Elapognathus_coronatus","Elapognathus",,,"Elapidae","Squamata","Lepidosauria"
"Elapognathus_minor","Elapognathus",,,"Elapidae","Squamata","Lepidosauria"
"Parasuta_dwyeri","Parasuta",,,"Elapidae","Squamata","Lepidosauria"
"Parasuta_flagellum","Parasuta",,,"Elapidae","Squamata","Lepidosauria"
"Parasuta_gouldii","Parasuta",,,"Elapidae","Squamata","Lepidosauria"
"Parasuta_monachus","Parasuta",,,"Elapidae","Squamata","Lepidosauria"
"Parasuta_nigriceps","Parasuta",,,"Elapidae","Squamata","Lepidosauria"
"Parasuta_spectabilis","Parasuta",,,"Elapidae","Squamata","Lepidosauria"
"Suta_fasciata","Suta",,,"Elapidae","Squamata","Lepidosauria"
"Suta_ordensis","Suta",,,"Elapidae","Squamata","Lepidosauria"
"Suta_punctata","Suta",,,"Elapidae","Squamata","Lepidosauria"
"Suta_suta","Suta",,,"Elapidae","Squamata","Lepidosauria"
"Simoselaps_anomalus","Simoselaps",,,"Elapidae","Squamata","Lepidosauria"
"Simoselaps_minimus","Simoselaps",,,"Elapidae","Squamata","Lepidosauria"
"Simoselaps_bertholdi","Simoselaps",,,"Elapidae","Squamata","Lepidosauria"
"Simoselaps_bimaculatus","Simoselaps",,,"Elapidae","Squamata","Lepidosauria"
"Simoselaps_littoralis","Simoselaps",,,"Elapidae","Squamata","Lepidosauria"
"Simoselaps_warro","Simoselaps",,,"Elapidae","Squamata","Lepidosauria"
"Aipysurus_apraefrontalis","Aipysurus",,,"Hydrophiidae","Squamata","Lepidosauria"
"Aipysurus_duboisii","Aipysurus",,,"Hydrophiidae","Squamata","Lepidosauria"
