taxon,taxon1,taxon2,genus,tribe,subfamily,family,order,class,agg.ssp,rand.type,poly.ins
Heliconia_burleana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_brenneri,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_brachyantha,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_bourgaeana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_berryi,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_bella,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_beckneri,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_badilloi,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_aurea,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_atropurpurea,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_atratensis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_arrecta,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_aristeguietae,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_apparicioi,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_albicosta,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_aemygdiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_adflexa,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_abaloi,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_x_rauliniana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_richardiana,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_illustris,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
Heliconia_humilis,,,Heliconia,,,Heliconiaceae,Zingiberales,Magnoliopsida,,,
