"taxon","genus","tribe","subfamily","family","order","class"
"Sapajus_macrocephalus","Sapajus",,"Cebinae","Cebidae","Primates","Mammalia"
"Sapajus_libidinosus","Sapajus",,"Cebinae","Cebidae","Primates","Mammalia"
"Sapajus_flavius","Sapajus",,"Cebinae","Cebidae","Primates","Mammalia"
"Sapajus_apella","Sapajus",,"Cebinae","Cebidae","Primates","Mammalia"
"Sapajus_robustus","Sapajus",,"Cebinae","Cebidae","Primates","Mammalia"
"Cebus_albifrons","Cebus",,"Cebinae","Cebidae","Primates","Mammalia"
"Cebus_capucinus","Cebus",,"Cebinae","Cebidae","Primates","Mammalia"
"Cebus_olivaceus","Cebus",,"Cebinae","Cebidae","Primates","Mammalia"
"Lagothrix_lagotricha","Lagothrix",,"Atelinae","Atelidae","Primates","Mammalia"
"Lagothrix_cana","Lagothrix",,"Atelinae","Atelidae","Primates","Mammalia"
"Brachyteles_hypoxanthus","Brachyteles",,"Atelinae","Atelidae","Primates","Mammalia"
"Brachyteles_arachnoides","Brachyteles",,"Atelinae","Atelidae","Primates","Mammalia"
"Ateles_hybridus","Ateles",,"Atelinae","Atelidae","Primates","Mammalia"
"Ateles_paniscus","Ateles",,"Atelinae","Atelidae","Primates","Mammalia"
"Ateles_marginatus","Ateles",,"Atelinae","Atelidae","Primates","Mammalia"
"Ateles_belzebuth","Ateles",,"Atelinae","Atelidae","Primates","Mammalia"
"Ateles_chamek","Ateles",,"Atelinae","Atelidae","Primates","Mammalia"
"Ateles_geoffroyi","Ateles",,"Atelinae","Atelidae","Primates","Mammalia"
"Ateles_fusciceps","Ateles",,"Atelinae","Atelidae","Primates","Mammalia"
"Alouatta_pigra","Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia"
"Alouatta_palliata","Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia"
"Alouatta_belzebul","Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia"
"Alouatta_caraya","Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia"
"Alouatta_guariba","Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia"
"Alouatta_sara","Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia"
"Alouatta_seniculus","Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia"
"Alouatta_macconnelli","Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia"
"Callicebus_brunneus","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_torquatus","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_purinus","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_lugens","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_nigrifrons","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_personatus","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_coimbrai","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_donacophilus","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
"Callicebus_caligatus","Callicebus",,"Callicebinae","Pitheciidae","Primates","Mammalia"
