"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Micrurus_circinalis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_tschudii",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_proximans",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_nebularis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_hippocrepis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_ephippifer",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_distans",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_bogerti",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_bernadi",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_paraensis",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_stewarti",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_alleni",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_elegans",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_clarki",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_ornatissimus",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_mertensi",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_bocourti",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_browni",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_dumerilii",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
"Micrurus_laticollaris",,,"Micrurus",,"Elapinae","Elapidae","Squamata","Lepidosauria",,,
