"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Ateles_paniscus_x_Ateles_fusciceps",,,"Ateles",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Ateles_paniscus",,,"Ateles",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Ateles_geoffroyi",,,"Ateles",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Ateles_fusciceps",,,"Ateles",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Ateles_belzebuth",,,"Ateles",,"Atelinae","Atelidae","Primates","Mammalia",,,
"Alouatta_palliata_x_Alouatta_pigra",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_macconnelli",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_guariba",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_pigra",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_stramineus",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_sara",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_belzebul",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_palliata",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_seniculus",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Alouatta_caraya",,,"Alouatta",,"Alouattinae","Atelidae","Primates","Mammalia",,,
"Xenothrix_mcgregori",,,"Xenothrix",,"Xenothricinae","Pitheciidae","Primates","Mammalia",,,
"Cheracebus_lucifer",,,"Cheracebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Cheracebus_regulus",,,"Cheracebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Cheracebus_purinus",,,"Cheracebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Cheracebus_lugens",,,"Cheracebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Cheracebus_torquatus",,,"Cheracebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_grovesi",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_vieirai",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_brunneus",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_miltoni",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_cinerascens",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_bernhardi",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_caligatus",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_donacophilus",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_cupreus",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
"Plecturocebus_hoffmannsi",,,"Plecturocebus",,"Callicebinae","Pitheciidae","Primates","Mammalia",,,
